condition_name,condition_type,seed,steps,n_agents,n_arms,threshold,halt_duration,halted_reward,transparent,total_reward,avg_global_reward,reward_volatility,total_collisions,avg_collisions_per_step,total_halted_choices,total_triggers,gini_total_rewards,agent_0_reward,agent_0_name,agent_1_reward,agent_1_name,agent_2_reward,agent_2_name,agent_3_reward,agent_3_name,agent_4_reward,agent_4_name
baseline,baseline,0,10000,5,5,,,,,65370.90867386446,6.537090867386446,2.643504401699835,8792,0.8792,0,0,0.1371953617084971,8754.855375867332,RandomAgent,15547.195042973794,EpsilonGreedyAgent,17429.52380582855,UCB_BaselineAgent,10475.068251086303,RiskAverseEpsilonGreedyAgent,13164.266198108486,RiskAverseUCBAgent
baseline,baseline,1,10000,5,5,,,,,64546.07819668572,6.4546078196685714,2.6759310965511443,8835,0.8835,0,0,0.13479119475323675,8682.445847739442,RandomAgent,16914.706365173075,EpsilonGreedyAgent,15693.392642578025,UCB_BaselineAgent,12848.227155667655,RiskAverseEpsilonGreedyAgent,10407.306185527523,RiskAverseUCBAgent
baseline,baseline,2,10000,5,5,,,,,64875.56763920343,6.487556763920343,2.673211814199443,8950,0.895,0,0,0.1360436046084028,8766.708016569693,RandomAgent,12832.155890491107,EpsilonGreedyAgent,15751.585317443452,UCB_BaselineAgent,17123.90477067627,RiskAverseEpsilonGreedyAgent,10401.213644022906,RiskAverseUCBAgent
baseline,baseline,3,10000,5,5,,,,,64616.00585303337,6.461600585303337,2.6242273504398095,8906,0.8906,0,0,0.13975909142288434,8687.061705544938,RandomAgent,15138.111682025183,EpsilonGreedyAgent,17595.15743196866,UCB_BaselineAgent,12818.057572111267,RiskAverseEpsilonGreedyAgent,10377.617461383323,RiskAverseUCBAgent
baseline,baseline,4,10000,5,5,,,,,64754.60351668442,6.475460351668442,2.669216657591303,8861,0.8861,0,0,0.1345543749588609,8621.590018856234,RandomAgent,16806.363986761062,EpsilonGreedyAgent,15858.242071341294,UCB_BaselineAgent,10445.252002410147,RiskAverseEpsilonGreedyAgent,13023.155437315685,RiskAverseUCBAgent
baseline,baseline,5,10000,5,5,,,,,64679.49984125886,6.4679499841258865,2.6356989661286447,8873,0.8873,0,0,0.13935479227085557,8712.096768026639,RandomAgent,15139.855745128063,EpsilonGreedyAgent,17599.344782277436,UCB_BaselineAgent,12847.346433600722,RiskAverseEpsilonGreedyAgent,10380.856112226,RiskAverseUCBAgent
baseline,baseline,6,10000,5,5,,,,,65045.816750189886,6.504581675018988,2.625062808609578,8758,0.8758,0,0,0.13837126166850822,8684.623636811064,RandomAgent,15317.138663645059,EpsilonGreedyAgent,17494.4386698,UCB_BaselineAgent,10435.589404667071,RiskAverseEpsilonGreedyAgent,13114.026375266689,RiskAverseUCBAgent
baseline,baseline,7,10000,5,5,,,,,64955.6397116732,6.49556397116732,2.66037892137948,8877,0.8877,0,0,0.13784352953056733,8679.60407275638,RandomAgent,15560.975036704207,EpsilonGreedyAgent,17314.65636022931,UCB_BaselineAgent,10446.793009717778,RiskAverseEpsilonGreedyAgent,12953.611232265524,RiskAverseUCBAgent
baseline,baseline,8,10000,5,5,,,,,64823.07738131672,6.482307738131672,2.66323715709017,8793,0.8793,0,0,0.14086714074415108,8580.587127465285,RandomAgent,15473.700592211373,EpsilonGreedyAgent,17471.87101931375,UCB_BaselineAgent,10427.664463550993,RiskAverseEpsilonGreedyAgent,12869.254178775318,RiskAverseUCBAgent
baseline,baseline,9,10000,5,5,,,,,64442.89319019976,6.444289319019975,2.6428094164451137,8896,0.8896,0,0,0.13844025340106203,8687.401314656667,RandomAgent,14781.77820566252,EpsilonGreedyAgent,17689.636139386897,UCB_BaselineAgent,12801.555833242744,RiskAverseEpsilonGreedyAgent,10482.521697250924,RiskAverseUCBAgent
