condition_name,condition_type,market_name,collision_policy,n_seeds,steps,n_agents,n_arms,threshold,threshold_ratio,halt_duration,halted_reward,transparent,avg_global_reward_mean,avg_global_reward_std,avg_global_reward_ci95,avg_reward_per_agent_per_step_mean,avg_reward_per_agent_per_step_std,avg_reward_per_agent_per_step_ci95,reward_volatility_mean,reward_volatility_std,reward_volatility_ci95,total_collisions_mean,total_collisions_std,total_collisions_ci95,avg_collisions_per_step_mean,avg_collisions_per_step_std,avg_collisions_per_step_ci95,total_halted_choices_mean,total_halted_choices_std,total_halted_choices_ci95,total_triggers_mean,total_triggers_std,total_triggers_ci95,gini_total_rewards_mean,gini_total_rewards_std,gini_total_rewards_ci95,market_wide_halt_steps_mean,market_wide_halt_steps_std,market_wide_halt_steps_ci95,avg_available_arms_mean,avg_available_arms_std,avg_available_arms_ci95,baseline_condition,relative_efficiency
balanced_linear_share_baseline,baseline,balanced,linear_share,30,10000,5,5,,,,,,6.459998226783728,0.06214244413896964,0.02223738804316667,1.291999645356746,0.012428488827793922,0.004447477608633331,2.6419500082947778,0.049487504771554516,0.017708876149642967,8934.0,87.71544903835355,31.388570318934033,0.8934,0.008771544903835355,0.003138857031893403,0.0,0.0,0.0,0.0,0.0,0.0,0.1358267461526633,0.0034352669285849144,0.0012292944827204646,0.0,0.0,0.0,5.0,0.0,0.0,balanced_linear_share_baseline,1.0
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,30,10000,5,5,3,0.6,3,0.0,False,6.376821212082306,0.05336908562351782,0.019097882018691243,1.2753642424164613,0.010673817124703552,0.003819576403738244,2.6499678958155304,0.03554874092941828,0.01272095356799371,8849.933333333332,42.65736249128213,15.26474112436466,0.8849933333333334,0.004265736249128213,0.0015264741124364663,691.8666666666667,44.56822227531192,15.94853351622047,296.46666666666664,21.632882590986398,7.741227615576782,0.13543692514122446,0.0037782623211174444,0.0013520338076125965,0.0,0.0,0.0,4.911076666666667,0.0065074855217735796,0.002328673787103595,balanced_linear_share_baseline,0.9871242975955374
balanced_linear_share_cb_transparent_ratio06_halt3,circuit_breaker,balanced,linear_share,30,10000,5,5,3,0.6,3,0.0,True,6.3977965742030385,0.04460531424796417,0.015961806708168155,1.2795593148406077,0.008921062849592822,0.0031923613416336262,2.6592553217936703,0.01671812639197314,0.005982504696816013,9146.2,63.71618102286052,22.80054255454482,0.91462,0.00637161810228606,0.002280054255454485,0.0,0.0,0.0,423.3333333333333,35.928409020058815,12.85681604936475,0.13434661230968312,0.003226621298717387,0.0011546316029582967,0.0,0.0,0.0,4.87301,0.010776262227052838,0.0038562359128004957,balanced_linear_share_baseline,0.9903712585674099
balanced_linear_share_cb_opaque_ratio06_halt5,circuit_breaker,balanced,linear_share,30,10000,5,5,3,0.6,5,0.0,False,6.290196268475105,0.08028366613646812,0.028729140962209382,1.2580392536950211,0.01605673322729365,0.005745828192441885,2.6579916573571105,0.05157581370196916,0.018456167903018326,8850.866666666667,50.79080376531205,18.175255704905428,0.8850866666666666,0.005079080376531204,0.0018175255704905426,1283.2333333333333,105.33319329250112,37.69299913329842,286.73333333333335,21.899351798521394,7.836582396863777,0.13421823968710242,0.006188241406261759,0.0022144337475380766,0.0,0.0,0.0,4.856653333333333,0.010941529028031954,0.003915375878003775,balanced_linear_share_baseline,0.9737148599198355
balanced_linear_share_cb_transparent_ratio06_halt5,circuit_breaker,balanced,linear_share,30,10000,5,5,3,0.6,5,0.0,True,1.5050859047439387,0.013857734712937705,0.004958926680156261,0.3010171809487877,0.0027715469425875407,0.000991785336031252,1.2360819445283588,0.01609195034297213,0.005758430475437902,10004.533333333333,4.183162747815658,1.4969255644800343,1.0004533333333334,0.0004183162747815599,0.00014969255644800133,0.0,0.0,0.0,9994.966666666667,8.318999166151945,2.976915619456484,0.0004801171052340199,0.0004112251582130954,0.00014715503297306953,0.0,0.0,0.0,0.0035166666666666666,0.0041594995830759735,0.0014884578097282422,balanced_linear_share_baseline,0.23298549812346975
balanced_linear_share_cb_opaque_ratio08_halt3,circuit_breaker,balanced,linear_share,30,10000,5,5,4,0.8,3,0.0,False,6.450285725477284,0.109326956565151,0.03912214896602553,1.2900571450954568,0.0218653913130302,0.007824429793205107,2.6297529558595034,0.080524799761609,0.028815429521772986,8931.2,118.4900403205789,42.40111637654145,0.89312,0.011849004032057884,0.0042401116376541426,14.3,8.251018745877843,2.9525891384833165,5.733333333333333,2.911728167178425,1.041948543011374,0.13515107671881557,0.004884818773991212,0.001748009948801948,0.0,0.0,0.0,4.998279999999999,0.0008735184501535407,0.0003125845629034169,balanced_linear_share_baseline,0.9984965164129338
balanced_linear_share_cb_transparent_ratio08_halt3,circuit_breaker,balanced,linear_share,30,10000,5,5,4,0.8,3,0.0,True,6.472737182022507,0.055321794392472756,0.01979664987747449,1.294547436404501,0.011064358878494574,0.0039593299754949055,2.639570286508491,0.0371931723553292,0.01330940579633835,8903.233333333334,60.35908829853119,21.599222351547077,0.8903233333333332,0.006035908829853127,0.0021599222351547103,0.0,0.0,0.0,5.333333333333333,3.0437424030446394,1.0891892306099196,0.1364493052346476,0.003221142443403976,0.0011526710197639148,0.0,0.0,0.0,4.9984,0.0009131227209134337,0.0003267567691829909,balanced_linear_share_baseline,1.0019719750364573
balanced_linear_share_cb_opaque_ratio08_halt5,circuit_breaker,balanced,linear_share,30,10000,5,5,4,0.8,5,0.0,False,6.464125179382385,0.0436688634741346,0.015626702102459332,1.2928250358764768,0.00873377269482693,0.0031253404204918695,2.6473125374734496,0.02642397457279369,0.009455697862541865,8893.666666666666,68.79571625263192,24.61823089217697,0.8893666666666667,0.006879571625263199,0.002461823089217699,23.666666666666668,10.376808802302383,3.7132933405469313,5.1,2.2026629651244956,0.7882128191522021,0.13601783040560428,0.00435605339076117,0.0015587936864936156,0.0,0.0,0.0,4.99745,0.0011013314825621824,0.0003941064095760776,balanced_linear_share_baseline,1.0006388473268528
balanced_linear_share_cb_transparent_ratio08_halt5,circuit_breaker,balanced,linear_share,30,10000,5,5,4,0.8,5,0.0,True,6.443896031804894,0.11326197299592881,0.040530276511375314,1.2887792063609786,0.02265239459918579,0.008106055302275072,2.6280507287084185,0.0903739017266618,0.032339885395825864,8933.133333333333,91.39181783844816,32.70414199832711,0.8933133333333333,0.009139181783844813,0.00327041419983271,0.0,0.0,0.0,6.066666666666666,2.778406059215438,0.9942398393936687,0.13594179178749527,0.004038554967621644,0.0014451783349207345,0.0,0.0,0.0,4.996966666666666,0.0013892030296077337,0.0004971199196968396,balanced_linear_share_baseline,0.9975073994738768
balanced_zero_on_collision_baseline,baseline,balanced,zero_on_collision,30,10000,5,5,,,,,,5.049351172885758,0.07642875270599546,0.027349677907384375,1.0098702345771513,0.015285750541199072,0.005469935581476868,2.6306817385029855,0.05834159083069735,0.02087727015462354,8768.633333333333,42.29818886913712,15.136212494357018,0.8768633333333333,0.00422981888691372,0.0015136212494357044,0.0,0.0,0.0,0.0,0.0,0.0,0.2291095299695808,0.005784778325495826,0.0020700563383068034,0.0,0.0,0.0,5.0,0.0,0.0,balanced_zero_on_collision_baseline,1.0
