condition_name,condition_type,market_name,collision_policy,seed,steps,n_agents,n_arms,threshold,threshold_ratio,halt_duration,halted_reward,transparent,total_reward,avg_global_reward,avg_reward_per_agent_per_step,reward_volatility,total_collisions,avg_collisions_per_step,total_halted_choices,total_triggers,market_wide_halt_steps,avg_available_arms,gini_total_rewards,agent_0_reward,agent_0_name,agent_1_reward,agent_1_name,agent_2_reward,agent_2_name,agent_3_reward,agent_3_name,agent_4_reward,agent_4_name,agent_5_reward,agent_5_name,agent_6_reward,agent_6_name,agent_7_reward,agent_7_name,agent_8_reward,agent_8_name,agent_9_reward,agent_9_name
balanced_linear_share_baseline,baseline,balanced,linear_share,0,10000,5,5,,,,,,65370.90867386446,6.537090867386446,1.3074181734772892,2.643504401699835,8792,0.8792,0,0,0,5,0.1371953617084971,8754.855375867332,RandomAgent_1,15547.195042973794,EpsilonGreedyAgent_1,17429.52380582855,UCB_BaselineAgent_1,10475.068251086303,RiskAverseEpsilonGreedyAgent_1,13164.266198108486,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,1,10000,5,5,,,,,,64546.07819668572,6.4546078196685714,1.2909215639337144,2.6759310965511443,8835,0.8835,0,0,0,5,0.13479119475323675,8682.445847739442,RandomAgent_1,16914.706365173075,EpsilonGreedyAgent_1,15693.392642578025,UCB_BaselineAgent_1,12848.227155667655,RiskAverseEpsilonGreedyAgent_1,10407.306185527523,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,2,10000,5,5,,,,,,64875.56763920343,6.487556763920343,1.2975113527840685,2.673211814199443,8950,0.895,0,0,0,5,0.1360436046084028,8766.708016569693,RandomAgent_1,12832.155890491107,EpsilonGreedyAgent_1,15751.585317443452,UCB_BaselineAgent_1,17123.90477067627,RiskAverseEpsilonGreedyAgent_1,10401.213644022906,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,3,10000,5,5,,,,,,64616.00585303337,6.461600585303337,1.2923201170606673,2.6242273504398095,8906,0.8906,0,0,0,5,0.13975909142288434,8687.061705544938,RandomAgent_1,15138.111682025183,EpsilonGreedyAgent_1,17595.15743196866,UCB_BaselineAgent_1,12818.057572111267,RiskAverseEpsilonGreedyAgent_1,10377.617461383323,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,4,10000,5,5,,,,,,64754.60351668442,6.475460351668442,1.2950920703336886,2.669216657591303,8861,0.8861,0,0,0,5,0.1345543749588609,8621.590018856234,RandomAgent_1,16806.363986761062,EpsilonGreedyAgent_1,15858.242071341294,UCB_BaselineAgent_1,10445.252002410147,RiskAverseEpsilonGreedyAgent_1,13023.155437315685,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,5,10000,5,5,,,,,,64679.49984125886,6.4679499841258865,1.2935899968251772,2.6356989661286447,8873,0.8873,0,0,0,5,0.13935479227085557,8712.096768026639,RandomAgent_1,15139.855745128063,EpsilonGreedyAgent_1,17599.344782277436,UCB_BaselineAgent_1,12847.346433600722,RiskAverseEpsilonGreedyAgent_1,10380.856112226,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,6,10000,5,5,,,,,,65045.816750189886,6.504581675018988,1.3009163350037978,2.625062808609578,8758,0.8758,0,0,0,5,0.13837126166850822,8684.623636811064,RandomAgent_1,15317.138663645059,EpsilonGreedyAgent_1,17494.4386698,UCB_BaselineAgent_1,10435.589404667071,RiskAverseEpsilonGreedyAgent_1,13114.026375266689,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,7,10000,5,5,,,,,,64955.6397116732,6.49556397116732,1.299112794233464,2.66037892137948,8877,0.8877,0,0,0,5,0.13784352953056733,8679.60407275638,RandomAgent_1,15560.975036704207,EpsilonGreedyAgent_1,17314.65636022931,UCB_BaselineAgent_1,10446.793009717778,RiskAverseEpsilonGreedyAgent_1,12953.611232265524,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,8,10000,5,5,,,,,,64823.07738131672,6.482307738131672,1.2964615476263344,2.66323715709017,8793,0.8793,0,0,0,5,0.14086714074415108,8580.587127465285,RandomAgent_1,15473.700592211373,EpsilonGreedyAgent_1,17471.87101931375,UCB_BaselineAgent_1,10427.664463550993,RiskAverseEpsilonGreedyAgent_1,12869.254178775318,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,9,10000,5,5,,,,,,64442.89319019976,6.444289319019975,1.2888578638039951,2.6428094164451137,8896,0.8896,0,0,0,5,0.13844025340106203,8687.401314656667,RandomAgent_1,14781.77820566252,EpsilonGreedyAgent_1,17689.636139386897,UCB_BaselineAgent_1,12801.555833242744,RiskAverseEpsilonGreedyAgent_1,10482.521697250924,RiskAverseUCBAgent_1,,,,,,,,,,
