condition_name,condition_type,market_name,collision_policy,seed,steps,n_agents,n_arms,threshold,threshold_ratio,halt_duration,halted_reward,transparent,total_reward,avg_global_reward,avg_reward_per_agent_per_step,reward_volatility,total_collisions,avg_collisions_per_step,total_halted_choices,total_triggers,market_wide_halt_steps,avg_available_arms,gini_total_rewards,agent_0_reward,agent_0_name,agent_1_reward,agent_1_name,agent_2_reward,agent_2_name,agent_3_reward,agent_3_name,agent_4_reward,agent_4_name,agent_5_reward,agent_5_name,agent_6_reward,agent_6_name,agent_7_reward,agent_7_name,agent_8_reward,agent_8_name,agent_9_reward,agent_9_name
low_congestion_baseline,baseline,low_congestion,linear_share,0,10000,5,10,,,,,,76925.2575447252,7.69252575447252,1.538505150894504,3.0684472029693555,4667,0.4667,0,0,0,10,0.09211761631873783,11401.908534570304,RandomAgent_1,18023.658989944477,EpsilonGreedyAgent_1,16622.023361613694,UCB_BaselineAgent_1,13202.869585016171,RiskAverseEpsilonGreedyAgent_1,17674.79707358055,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,1,10000,5,10,,,,,,75490.64417215722,7.549064417215722,1.5098128834431443,2.6638509759835194,4669,0.4669,0,0,0,10,0.09301930484957976,11697.267476055034,RandomAgent_1,17925.130195175032,EpsilonGreedyAgent_1,18311.43696661768,UCB_BaselineAgent_1,13958.55846686176,RiskAverseEpsilonGreedyAgent_1,13598.25106744772,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,2,10000,5,10,,,,,,78129.98083988487,7.812998083988487,1.5625996167976974,3.0758578924115065,4550,0.455,0,0,0,10,0.0963081083331303,11501.67622623511,RandomAgent_1,16373.01977346623,EpsilonGreedyAgent_1,18597.66471725533,UCB_BaselineAgent_1,18138.509893935126,RiskAverseEpsilonGreedyAgent_1,13519.110228993068,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,3,10000,5,10,,,,,,72997.83244569346,7.299783244569347,1.4599566489138693,2.618970584340218,4650,0.465,0,0,0,10,0.11297537598375063,11611.040139079689,RandomAgent_1,18263.526960076724,EpsilonGreedyAgent_1,18316.460802167396,UCB_BaselineAgent_1,11334.00725447712,RiskAverseEpsilonGreedyAgent_1,13472.797289892535,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,4,10000,5,10,,,,,,77682.50415864243,7.768250415864244,1.5536500831728486,3.1181600977748127,4640,0.464,0,0,0,10,0.08540711844466609,11469.03636990461,RandomAgent_1,18015.58550469427,EpsilonGreedyAgent_1,16927.214101081667,UCB_BaselineAgent_1,13888.584684076292,RiskAverseEpsilonGreedyAgent_1,17382.08349888559,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,5,10000,5,10,,,,,,78265.62318119514,7.826562318119515,1.5653124636239029,3.115594308586229,4736,0.4736,0,0,0,10,0.09615755965981232,11402.437479891412,RandomAgent_1,16788.775226934933,EpsilonGreedyAgent_1,18583.065504655115,UCB_BaselineAgent_1,17972.333623040842,RiskAverseEpsilonGreedyAgent_1,13519.011346672845,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,6,10000,5,10,,,,,,78133.58428346366,7.8133584283463655,1.562671685669273,3.1248993247566306,4720,0.472,0,0,0,10,0.09688009507718576,11492.763017406949,RandomAgent_1,16438.02448779682,EpsilonGreedyAgent_1,18518.802518898654,UCB_BaselineAgent_1,18277.943970817974,RiskAverseEpsilonGreedyAgent_1,13406.05028854326,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,7,10000,5,10,,,,,,75478.67035217084,7.5478670352170845,1.5095734070434168,2.6905498834684396,4924,0.4924,0,0,0,10,0.09489534404533706,11586.203282521941,RandomAgent_1,18276.187952957225,EpsilonGreedyAgent_1,18133.12895420921,UCB_BaselineAgent_1,13876.487845287256,RiskAverseEpsilonGreedyAgent_1,13606.662317195214,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,8,10000,5,10,,,,,,75216.14268323798,7.521614268323798,1.5043228536647597,2.626602093830067,4694,0.4694,0,0,0,10,0.09769103023346215,11610.613458679969,RandomAgent_1,18109.19666451835,EpsilonGreedyAgent_1,18481.46372836019,UCB_BaselineAgent_1,13533.827800082203,RiskAverseEpsilonGreedyAgent_1,13481.041031597262,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,9,10000,5,10,,,,,,77305.87551180765,7.730587551180765,1.546117510236153,3.115669899895385,4617,0.4617,0,0,0,10,0.08917742635098858,11442.448162861601,RandomAgent_1,16486.166498296756,EpsilonGreedyAgent_1,18450.032447440943,UCB_BaselineAgent_1,13853.774711242362,RiskAverseEpsilonGreedyAgent_1,17073.453691965984,RiskAverseUCBAgent_1,,,,,,,,,,
